cluster_ordinal,n_members,mean_r,tier,folder
1,15,0.9232,Tier1_Strong,Subclass_01_n15_r0.92
2,10,0.8916,Tier2_Moderate,Subclass_02_n10_r0.89
3,4,0.9997,Tier2_Moderate,Subclass_03_n4_r1.00
4,4,0.9991,Tier2_Moderate,Subclass_04_n4_r1.00
5,4,0.9718,Tier2_Moderate,Subclass_05_n4_r0.97
6,3,0.9049,Tier2_Moderate,Subclass_06_n3_r0.90
7,3,0.8973,Tier2_Moderate,Subclass_07_n3_r0.90
8,2,0.908,Tier2_Moderate,Subclass_08_n2_r0.91
9,2,0.8707,Tier2_Moderate,Subclass_09_n2_r0.87
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
12,1,,Tier3_Singletons,Tier3_Singletons
13,1,,Tier3_Singletons,Tier3_Singletons
14,1,,Tier3_Singletons,Tier3_Singletons
15,1,,Tier3_Singletons,Tier3_Singletons
