cluster_ordinal,n_members,mean_r,tier,folder
1,4,0.9542,Tier2_Moderate,Subclass_01_n4_r0.95
2,4,0.9133,Tier2_Moderate,Subclass_02_n4_r0.91
3,3,0.9354,Tier2_Moderate,Subclass_03_n3_r0.94
4,3,0.914,Tier2_Moderate,Subclass_04_n3_r0.91
5,2,0.8761,Tier2_Moderate,Subclass_05_n2_r0.88
6,1,,Tier3_Singletons,Tier3_Singletons
7,1,,Tier3_Singletons,Tier3_Singletons
8,1,,Tier3_Singletons,Tier3_Singletons
9,1,,Tier3_Singletons,Tier3_Singletons
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
