cluster_ordinal,n_members,mean_r,tier,folder
1,46,0.9401,Tier1_Strong,Subclass_01_n46_r0.94
2,28,0.9423,Tier1_Strong,Subclass_02_n28_r0.94
3,18,0.9032,Tier1_Strong,Subclass_03_n18_r0.90
4,15,0.9058,Tier1_Strong,Subclass_04_n15_r0.91
5,11,0.9314,Tier1_Strong,Subclass_05_n11_r0.93
6,9,0.9226,Tier1_Strong,Subclass_06_n9_r0.92
7,8,0.9145,Tier1_Strong,Subclass_07_n8_r0.91
8,8,0.9068,Tier1_Strong,Subclass_08_n8_r0.91
9,7,0.9342,Tier1_Strong,Subclass_09_n7_r0.93
10,7,0.9327,Tier1_Strong,Subclass_10_n7_r0.93
11,6,0.9406,Tier1_Strong,Subclass_11_n6_r0.94
12,5,0.8972,Tier2_Moderate,Subclass_12_n5_r0.90
13,4,0.8998,Tier2_Moderate,Subclass_13_n4_r0.90
14,3,0.9097,Tier2_Moderate,Subclass_14_n3_r0.91
15,2,0.9917,Tier2_Moderate,Subclass_15_n2_r0.99
16,2,0.9511,Tier2_Moderate,Subclass_16_n2_r0.95
17,2,0.9092,Tier2_Moderate,Subclass_17_n2_r0.91
18,2,0.9006,Tier2_Moderate,Subclass_18_n2_r0.90
19,2,0.8627,Tier2_Moderate,Subclass_19_n2_r0.86
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
23,1,,Tier3_Singletons,Tier3_Singletons
24,1,,Tier3_Singletons,Tier3_Singletons
25,1,,Tier3_Singletons,Tier3_Singletons
26,1,,Tier3_Singletons,Tier3_Singletons
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
36,1,,Tier3_Singletons,Tier3_Singletons
37,1,,Tier3_Singletons,Tier3_Singletons
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
49,1,,Tier3_Singletons,Tier3_Singletons
50,1,,Tier3_Singletons,Tier3_Singletons
51,1,,Tier3_Singletons,Tier3_Singletons
52,1,,Tier3_Singletons,Tier3_Singletons
53,1,,Tier3_Singletons,Tier3_Singletons
54,1,,Tier3_Singletons,Tier3_Singletons
55,1,,Tier3_Singletons,Tier3_Singletons
56,1,,Tier3_Singletons,Tier3_Singletons
57,1,,Tier3_Singletons,Tier3_Singletons
58,1,,Tier3_Singletons,Tier3_Singletons
59,1,,Tier3_Singletons,Tier3_Singletons
60,1,,Tier3_Singletons,Tier3_Singletons
61,1,,Tier3_Singletons,Tier3_Singletons
62,1,,Tier3_Singletons,Tier3_Singletons
63,1,,Tier3_Singletons,Tier3_Singletons
64,1,,Tier3_Singletons,Tier3_Singletons
65,1,,Tier3_Singletons,Tier3_Singletons
66,1,,Tier3_Singletons,Tier3_Singletons
67,1,,Tier3_Singletons,Tier3_Singletons
68,1,,Tier3_Singletons,Tier3_Singletons
69,1,,Tier3_Singletons,Tier3_Singletons
70,1,,Tier3_Singletons,Tier3_Singletons
71,1,,Tier3_Singletons,Tier3_Singletons
72,1,,Tier3_Singletons,Tier3_Singletons
73,1,,Tier3_Singletons,Tier3_Singletons
74,1,,Tier3_Singletons,Tier3_Singletons
75,1,,Tier3_Singletons,Tier3_Singletons
