cluster_ordinal,n_members,mean_r,tier,folder
1,20,0.9246,Tier1_Strong,Subclass_01_n20_r0.92
2,19,0.9203,Tier1_Strong,Subclass_02_n19_r0.92
3,14,0.9554,Tier1_Strong,Subclass_03_n14_r0.96
4,9,0.9766,Tier1_Strong,Subclass_04_n9_r0.98
5,4,0.9991,Tier2_Moderate,Subclass_05_n4_r1.00
6,4,0.9976,Tier2_Moderate,Subclass_06_n4_r1.00
7,4,0.9872,Tier2_Moderate,Subclass_07_n4_r0.99
8,4,0.9539,Tier2_Moderate,Subclass_08_n4_r0.95
9,3,0.959,Tier2_Moderate,Subclass_09_n3_r0.96
10,3,0.8728,Tier2_Moderate,Subclass_10_n3_r0.87
11,1,,Tier3_Singletons,Tier3_Singletons
12,1,,Tier3_Singletons,Tier3_Singletons
13,1,,Tier3_Singletons,Tier3_Singletons
14,1,,Tier3_Singletons,Tier3_Singletons
