cluster_ordinal,n_members,mean_r,tier,folder
1,13,0.9354,Tier1_Strong,Subclass_01_n13_r0.94
2,9,0.9634,Tier1_Strong,Subclass_02_n9_r0.96
3,8,0.9199,Tier1_Strong,Subclass_03_n8_r0.92
4,8,0.9054,Tier1_Strong,Subclass_04_n8_r0.91
5,7,0.967,Tier1_Strong,Subclass_05_n7_r0.97
6,4,0.981,Tier2_Moderate,Subclass_06_n4_r0.98
7,4,0.966,Tier2_Moderate,Subclass_07_n4_r0.97
8,4,0.9618,Tier2_Moderate,Subclass_08_n4_r0.96
9,2,0.8566,Tier2_Moderate,Subclass_09_n2_r0.86
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
12,1,,Tier3_Singletons,Tier3_Singletons
13,1,,Tier3_Singletons,Tier3_Singletons
14,1,,Tier3_Singletons,Tier3_Singletons
15,1,,Tier3_Singletons,Tier3_Singletons
16,1,,Tier3_Singletons,Tier3_Singletons
17,1,,Tier3_Singletons,Tier3_Singletons
18,1,,Tier3_Singletons,Tier3_Singletons
19,1,,Tier3_Singletons,Tier3_Singletons
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
