cluster_ordinal,n_members,mean_r,tier,folder
1,62,0.928,Tier1_Strong,Subclass_01_n62_r0.93
2,17,0.9293,Tier1_Strong,Subclass_02_n17_r0.93
3,11,0.919,Tier1_Strong,Subclass_03_n11_r0.92
4,7,0.9314,Tier1_Strong,Subclass_04_n7_r0.93
5,5,0.9079,Tier1_Strong,Subclass_05_n5_r0.91
6,4,0.8802,Tier2_Moderate,Subclass_06_n4_r0.88
7,3,0.9519,Tier2_Moderate,Subclass_07_n3_r0.95
8,3,0.913,Tier2_Moderate,Subclass_08_n3_r0.91
9,3,0.9124,Tier2_Moderate,Subclass_09_n3_r0.91
10,2,0.9993,Tier2_Moderate,Subclass_10_n2_r1.00
11,2,0.9961,Tier2_Moderate,Subclass_11_n2_r1.00
12,2,0.9775,Tier2_Moderate,Subclass_12_n2_r0.98
13,2,0.9711,Tier2_Moderate,Subclass_13_n2_r0.97
14,2,0.9681,Tier2_Moderate,Subclass_14_n2_r0.97
15,2,0.9348,Tier2_Moderate,Subclass_15_n2_r0.93
16,2,0.9123,Tier2_Moderate,Subclass_16_n2_r0.91
17,2,0.9038,Tier2_Moderate,Subclass_17_n2_r0.90
18,2,0.8558,Tier2_Moderate,Subclass_18_n2_r0.86
19,1,,Tier3_Singletons,Tier3_Singletons
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
23,1,,Tier3_Singletons,Tier3_Singletons
24,1,,Tier3_Singletons,Tier3_Singletons
25,1,,Tier3_Singletons,Tier3_Singletons
26,1,,Tier3_Singletons,Tier3_Singletons
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
36,1,,Tier3_Singletons,Tier3_Singletons
37,1,,Tier3_Singletons,Tier3_Singletons
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
