cluster_ordinal,n_members,mean_r,tier,folder
1,9,0.9392,Tier1_Strong,Subclass_01_n9_r0.94
2,9,0.92,Tier1_Strong,Subclass_02_n9_r0.92
3,5,0.9483,Tier1_Strong,Subclass_03_n5_r0.95
4,5,0.9394,Tier1_Strong,Subclass_04_n5_r0.94
5,4,0.9991,Tier2_Moderate,Subclass_05_n4_r1.00
6,4,0.9381,Tier2_Moderate,Subclass_06_n4_r0.94
7,4,0.9356,Tier2_Moderate,Subclass_07_n4_r0.94
8,4,0.9176,Tier2_Moderate,Subclass_08_n4_r0.92
9,4,0.9129,Tier2_Moderate,Subclass_09_n4_r0.91
10,3,0.9983,Tier2_Moderate,Subclass_10_n3_r1.00
11,3,0.917,Tier2_Moderate,Subclass_11_n3_r0.92
12,2,0.9999,Tier2_Moderate,Subclass_12_n2_r1.00
13,2,0.9995,Tier2_Moderate,Subclass_13_n2_r1.00
14,2,0.995,Tier2_Moderate,Subclass_14_n2_r1.00
15,2,0.9946,Tier2_Moderate,Subclass_15_n2_r0.99
16,2,0.9941,Tier2_Moderate,Subclass_16_n2_r0.99
17,2,0.9891,Tier2_Moderate,Subclass_17_n2_r0.99
18,2,0.8967,Tier2_Moderate,Subclass_18_n2_r0.90
19,2,0.8709,Tier2_Moderate,Subclass_19_n2_r0.87
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
23,1,,Tier3_Singletons,Tier3_Singletons
24,1,,Tier3_Singletons,Tier3_Singletons
25,1,,Tier3_Singletons,Tier3_Singletons
26,1,,Tier3_Singletons,Tier3_Singletons
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
36,1,,Tier3_Singletons,Tier3_Singletons
37,1,,Tier3_Singletons,Tier3_Singletons
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
