cluster_ordinal,n_members,mean_r,tier,folder
1,17,0.9391,Tier1_Strong,Subclass_01_n17_r0.94
2,14,0.8934,Tier2_Moderate,Subclass_02_n14_r0.89
3,12,0.9019,Tier1_Strong,Subclass_03_n12_r0.90
4,11,0.9372,Tier1_Strong,Subclass_04_n11_r0.94
5,11,0.905,Tier1_Strong,Subclass_05_n11_r0.91
6,10,0.9153,Tier1_Strong,Subclass_06_n10_r0.92
7,9,0.9499,Tier1_Strong,Subclass_07_n9_r0.95
8,9,0.9206,Tier1_Strong,Subclass_08_n9_r0.92
9,8,0.9072,Tier1_Strong,Subclass_09_n8_r0.91
10,7,0.9358,Tier1_Strong,Subclass_10_n7_r0.94
11,7,0.9268,Tier1_Strong,Subclass_11_n7_r0.93
12,7,0.9113,Tier1_Strong,Subclass_12_n7_r0.91
13,6,0.909,Tier1_Strong,Subclass_13_n6_r0.91
14,6,0.8964,Tier2_Moderate,Subclass_14_n6_r0.90
15,6,0.8963,Tier2_Moderate,Subclass_15_n6_r0.90
16,5,0.8976,Tier2_Moderate,Subclass_16_n5_r0.90
17,4,0.9625,Tier2_Moderate,Subclass_17_n4_r0.96
18,4,0.9556,Tier2_Moderate,Subclass_18_n4_r0.96
19,4,0.9205,Tier2_Moderate,Subclass_19_n4_r0.92
20,4,0.913,Tier2_Moderate,Subclass_20_n4_r0.91
21,4,0.898,Tier2_Moderate,Subclass_21_n4_r0.90
22,4,0.8855,Tier2_Moderate,Subclass_22_n4_r0.89
23,3,0.9737,Tier2_Moderate,Subclass_23_n3_r0.97
24,3,0.9168,Tier2_Moderate,Subclass_24_n3_r0.92
25,3,0.8829,Tier2_Moderate,Subclass_25_n3_r0.88
26,2,0.9999,Tier2_Moderate,Subclass_26_n2_r1.00
27,2,0.9453,Tier2_Moderate,Subclass_27_n2_r0.95
28,2,0.9383,Tier2_Moderate,Subclass_28_n2_r0.94
29,2,0.9377,Tier2_Moderate,Subclass_29_n2_r0.94
30,2,0.9369,Tier2_Moderate,Subclass_30_n2_r0.94
31,2,0.9364,Tier2_Moderate,Subclass_31_n2_r0.94
32,2,0.9052,Tier2_Moderate,Subclass_32_n2_r0.91
33,2,0.8784,Tier2_Moderate,Subclass_33_n2_r0.88
34,2,0.8667,Tier2_Moderate,Subclass_34_n2_r0.87
35,2,0.8635,Tier2_Moderate,Subclass_35_n2_r0.86
36,2,0.8624,Tier2_Moderate,Subclass_36_n2_r0.86
37,2,0.8528,Tier2_Moderate,Subclass_37_n2_r0.85
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
49,1,,Tier3_Singletons,Tier3_Singletons
50,1,,Tier3_Singletons,Tier3_Singletons
51,1,,Tier3_Singletons,Tier3_Singletons
52,1,,Tier3_Singletons,Tier3_Singletons
53,1,,Tier3_Singletons,Tier3_Singletons
54,1,,Tier3_Singletons,Tier3_Singletons
55,1,,Tier3_Singletons,Tier3_Singletons
56,1,,Tier3_Singletons,Tier3_Singletons
57,1,,Tier3_Singletons,Tier3_Singletons
58,1,,Tier3_Singletons,Tier3_Singletons
59,1,,Tier3_Singletons,Tier3_Singletons
60,1,,Tier3_Singletons,Tier3_Singletons
61,1,,Tier3_Singletons,Tier3_Singletons
62,1,,Tier3_Singletons,Tier3_Singletons
63,1,,Tier3_Singletons,Tier3_Singletons
64,1,,Tier3_Singletons,Tier3_Singletons
65,1,,Tier3_Singletons,Tier3_Singletons
66,1,,Tier3_Singletons,Tier3_Singletons
67,1,,Tier3_Singletons,Tier3_Singletons
68,1,,Tier3_Singletons,Tier3_Singletons
69,1,,Tier3_Singletons,Tier3_Singletons
70,1,,Tier3_Singletons,Tier3_Singletons
71,1,,Tier3_Singletons,Tier3_Singletons
72,1,,Tier3_Singletons,Tier3_Singletons
73,1,,Tier3_Singletons,Tier3_Singletons
