cluster_ordinal,n_members,mean_r,tier,folder
1,8,0.9856,Tier1_Strong,Subclass_01_n8_r0.99
2,7,0.9239,Tier1_Strong,Subclass_02_n7_r0.92
3,4,0.9999,Tier2_Moderate,Subclass_03_n4_r1.00
4,4,0.9852,Tier2_Moderate,Subclass_04_n4_r0.99
5,2,0.9744,Tier2_Moderate,Subclass_05_n2_r0.97
6,1,,Tier3_Singletons,Tier3_Singletons
7,1,,Tier3_Singletons,Tier3_Singletons
8,1,,Tier3_Singletons,Tier3_Singletons
9,1,,Tier3_Singletons,Tier3_Singletons
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
