cluster_ordinal,n_members,mean_r,tier,folder
1,20,0.9477,Tier1_Strong,Subclass_01_n20_r0.95
2,8,0.9785,Tier1_Strong,Subclass_02_n8_r0.98
3,7,0.9163,Tier1_Strong,Subclass_03_n7_r0.92
4,7,0.8937,Tier2_Moderate,Subclass_04_n7_r0.89
5,6,0.9417,Tier1_Strong,Subclass_05_n6_r0.94
6,5,0.9628,Tier1_Strong,Subclass_06_n5_r0.96
7,4,0.9722,Tier2_Moderate,Subclass_07_n4_r0.97
8,3,0.9569,Tier2_Moderate,Subclass_08_n3_r0.96
9,3,0.9363,Tier2_Moderate,Subclass_09_n3_r0.94
10,3,0.9024,Tier2_Moderate,Subclass_10_n3_r0.90
11,2,0.9724,Tier2_Moderate,Subclass_11_n2_r0.97
12,2,0.9689,Tier2_Moderate,Subclass_12_n2_r0.97
13,2,0.9635,Tier2_Moderate,Subclass_13_n2_r0.96
14,2,0.9319,Tier2_Moderate,Subclass_14_n2_r0.93
15,2,0.9123,Tier2_Moderate,Subclass_15_n2_r0.91
16,2,0.8632,Tier2_Moderate,Subclass_16_n2_r0.86
17,2,0.8531,Tier2_Moderate,Subclass_17_n2_r0.85
18,1,,Tier3_Singletons,Tier3_Singletons
19,1,,Tier3_Singletons,Tier3_Singletons
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
23,1,,Tier3_Singletons,Tier3_Singletons
24,1,,Tier3_Singletons,Tier3_Singletons
25,1,,Tier3_Singletons,Tier3_Singletons
26,1,,Tier3_Singletons,Tier3_Singletons
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
