cluster_ordinal,n_members,mean_r,tier,folder
1,81,0.9423,Tier1_Strong,Subclass_01_n81_r0.94
2,74,0.9208,Tier1_Strong,Subclass_02_n74_r0.92
3,66,0.9198,Tier1_Strong,Subclass_03_n66_r0.92
4,32,0.921,Tier1_Strong,Subclass_04_n32_r0.92
5,31,0.9404,Tier1_Strong,Subclass_05_n31_r0.94
6,14,0.9709,Tier1_Strong,Subclass_06_n14_r0.97
7,13,0.9065,Tier1_Strong,Subclass_07_n13_r0.91
8,12,0.9007,Tier1_Strong,Subclass_08_n12_r0.90
9,8,0.9231,Tier1_Strong,Subclass_09_n8_r0.92
10,7,0.9158,Tier1_Strong,Subclass_10_n7_r0.92
11,7,0.9133,Tier1_Strong,Subclass_11_n7_r0.91
12,7,0.9053,Tier1_Strong,Subclass_12_n7_r0.91
13,7,0.9015,Tier1_Strong,Subclass_13_n7_r0.90
14,7,0.8941,Tier2_Moderate,Subclass_14_n7_r0.89
15,5,0.9107,Tier1_Strong,Subclass_15_n5_r0.91
16,5,0.9037,Tier1_Strong,Subclass_16_n5_r0.90
17,5,0.9031,Tier1_Strong,Subclass_17_n5_r0.90
18,5,0.8901,Tier2_Moderate,Subclass_18_n5_r0.89
19,5,0.8871,Tier2_Moderate,Subclass_19_n5_r0.89
20,4,0.9716,Tier2_Moderate,Subclass_20_n4_r0.97
21,4,0.936,Tier2_Moderate,Subclass_21_n4_r0.94
22,4,0.919,Tier2_Moderate,Subclass_22_n4_r0.92
23,4,0.8946,Tier2_Moderate,Subclass_23_n4_r0.89
24,4,0.8911,Tier2_Moderate,Subclass_24_n4_r0.89
25,4,0.8808,Tier2_Moderate,Subclass_25_n4_r0.88
26,4,0.8799,Tier2_Moderate,Subclass_26_n4_r0.88
27,3,0.9896,Tier2_Moderate,Subclass_27_n3_r0.99
28,3,0.9528,Tier2_Moderate,Subclass_28_n3_r0.95
29,3,0.9476,Tier2_Moderate,Subclass_29_n3_r0.95
30,3,0.9422,Tier2_Moderate,Subclass_30_n3_r0.94
31,3,0.9355,Tier2_Moderate,Subclass_31_n3_r0.94
32,3,0.9306,Tier2_Moderate,Subclass_32_n3_r0.93
33,3,0.9078,Tier2_Moderate,Subclass_33_n3_r0.91
34,3,0.8868,Tier2_Moderate,Subclass_34_n3_r0.89
35,3,0.8827,Tier2_Moderate,Subclass_35_n3_r0.88
36,3,0.8815,Tier2_Moderate,Subclass_36_n3_r0.88
37,3,0.8773,Tier2_Moderate,Subclass_37_n3_r0.88
38,2,0.9704,Tier2_Moderate,Subclass_38_n2_r0.97
39,2,0.965,Tier2_Moderate,Subclass_39_n2_r0.96
40,2,0.9376,Tier2_Moderate,Subclass_40_n2_r0.94
41,2,0.9364,Tier2_Moderate,Subclass_41_n2_r0.94
42,2,0.9344,Tier2_Moderate,Subclass_42_n2_r0.93
43,2,0.9308,Tier2_Moderate,Subclass_43_n2_r0.93
44,2,0.92,Tier2_Moderate,Subclass_44_n2_r0.92
45,2,0.914,Tier2_Moderate,Subclass_45_n2_r0.91
46,2,0.9111,Tier2_Moderate,Subclass_46_n2_r0.91
47,2,0.9064,Tier2_Moderate,Subclass_47_n2_r0.91
48,2,0.901,Tier2_Moderate,Subclass_48_n2_r0.90
49,2,0.8996,Tier2_Moderate,Subclass_49_n2_r0.90
50,2,0.8981,Tier2_Moderate,Subclass_50_n2_r0.90
51,2,0.8936,Tier2_Moderate,Subclass_51_n2_r0.89
52,2,0.8928,Tier2_Moderate,Subclass_52_n2_r0.89
53,2,0.8919,Tier2_Moderate,Subclass_53_n2_r0.89
54,2,0.8879,Tier2_Moderate,Subclass_54_n2_r0.89
55,2,0.8832,Tier2_Moderate,Subclass_55_n2_r0.88
56,2,0.8828,Tier2_Moderate,Subclass_56_n2_r0.88
57,2,0.8774,Tier2_Moderate,Subclass_57_n2_r0.88
58,2,0.8747,Tier2_Moderate,Subclass_58_n2_r0.87
59,2,0.8746,Tier2_Moderate,Subclass_59_n2_r0.87
60,2,0.8721,Tier2_Moderate,Subclass_60_n2_r0.87
61,2,0.87,Tier2_Moderate,Subclass_61_n2_r0.87
62,2,0.8662,Tier2_Moderate,Subclass_62_n2_r0.87
63,2,0.8531,Tier2_Moderate,Subclass_63_n2_r0.85
64,1,,Tier3_Singletons,Tier3_Singletons
65,1,,Tier3_Singletons,Tier3_Singletons
66,1,,Tier3_Singletons,Tier3_Singletons
67,1,,Tier3_Singletons,Tier3_Singletons
68,1,,Tier3_Singletons,Tier3_Singletons
69,1,,Tier3_Singletons,Tier3_Singletons
70,1,,Tier3_Singletons,Tier3_Singletons
71,1,,Tier3_Singletons,Tier3_Singletons
72,1,,Tier3_Singletons,Tier3_Singletons
73,1,,Tier3_Singletons,Tier3_Singletons
74,1,,Tier3_Singletons,Tier3_Singletons
75,1,,Tier3_Singletons,Tier3_Singletons
76,1,,Tier3_Singletons,Tier3_Singletons
77,1,,Tier3_Singletons,Tier3_Singletons
78,1,,Tier3_Singletons,Tier3_Singletons
79,1,,Tier3_Singletons,Tier3_Singletons
80,1,,Tier3_Singletons,Tier3_Singletons
81,1,,Tier3_Singletons,Tier3_Singletons
82,1,,Tier3_Singletons,Tier3_Singletons
83,1,,Tier3_Singletons,Tier3_Singletons
84,1,,Tier3_Singletons,Tier3_Singletons
85,1,,Tier3_Singletons,Tier3_Singletons
86,1,,Tier3_Singletons,Tier3_Singletons
87,1,,Tier3_Singletons,Tier3_Singletons
88,1,,Tier3_Singletons,Tier3_Singletons
89,1,,Tier3_Singletons,Tier3_Singletons
90,1,,Tier3_Singletons,Tier3_Singletons
91,1,,Tier3_Singletons,Tier3_Singletons
92,1,,Tier3_Singletons,Tier3_Singletons
93,1,,Tier3_Singletons,Tier3_Singletons
94,1,,Tier3_Singletons,Tier3_Singletons
95,1,,Tier3_Singletons,Tier3_Singletons
96,1,,Tier3_Singletons,Tier3_Singletons
97,1,,Tier3_Singletons,Tier3_Singletons
98,1,,Tier3_Singletons,Tier3_Singletons
99,1,,Tier3_Singletons,Tier3_Singletons
100,1,,Tier3_Singletons,Tier3_Singletons
101,1,,Tier3_Singletons,Tier3_Singletons
102,1,,Tier3_Singletons,Tier3_Singletons
103,1,,Tier3_Singletons,Tier3_Singletons
104,1,,Tier3_Singletons,Tier3_Singletons
105,1,,Tier3_Singletons,Tier3_Singletons
106,1,,Tier3_Singletons,Tier3_Singletons
107,1,,Tier3_Singletons,Tier3_Singletons
108,1,,Tier3_Singletons,Tier3_Singletons
109,1,,Tier3_Singletons,Tier3_Singletons
110,1,,Tier3_Singletons,Tier3_Singletons
111,1,,Tier3_Singletons,Tier3_Singletons
112,1,,Tier3_Singletons,Tier3_Singletons
113,1,,Tier3_Singletons,Tier3_Singletons
114,1,,Tier3_Singletons,Tier3_Singletons
115,1,,Tier3_Singletons,Tier3_Singletons
116,1,,Tier3_Singletons,Tier3_Singletons
117,1,,Tier3_Singletons,Tier3_Singletons
118,1,,Tier3_Singletons,Tier3_Singletons
119,1,,Tier3_Singletons,Tier3_Singletons
120,1,,Tier3_Singletons,Tier3_Singletons
121,1,,Tier3_Singletons,Tier3_Singletons
122,1,,Tier3_Singletons,Tier3_Singletons
123,1,,Tier3_Singletons,Tier3_Singletons
124,1,,Tier3_Singletons,Tier3_Singletons
125,1,,Tier3_Singletons,Tier3_Singletons
126,1,,Tier3_Singletons,Tier3_Singletons
127,1,,Tier3_Singletons,Tier3_Singletons
128,1,,Tier3_Singletons,Tier3_Singletons
129,1,,Tier3_Singletons,Tier3_Singletons
130,1,,Tier3_Singletons,Tier3_Singletons
131,1,,Tier3_Singletons,Tier3_Singletons
132,1,,Tier3_Singletons,Tier3_Singletons
133,1,,Tier3_Singletons,Tier3_Singletons
134,1,,Tier3_Singletons,Tier3_Singletons
135,1,,Tier3_Singletons,Tier3_Singletons
136,1,,Tier3_Singletons,Tier3_Singletons
137,1,,Tier3_Singletons,Tier3_Singletons
138,1,,Tier3_Singletons,Tier3_Singletons
139,1,,Tier3_Singletons,Tier3_Singletons
140,1,,Tier3_Singletons,Tier3_Singletons
141,1,,Tier3_Singletons,Tier3_Singletons
142,1,,Tier3_Singletons,Tier3_Singletons
143,1,,Tier3_Singletons,Tier3_Singletons
144,1,,Tier3_Singletons,Tier3_Singletons
145,1,,Tier3_Singletons,Tier3_Singletons
146,1,,Tier3_Singletons,Tier3_Singletons
147,1,,Tier3_Singletons,Tier3_Singletons
148,1,,Tier3_Singletons,Tier3_Singletons
149,1,,Tier3_Singletons,Tier3_Singletons
150,1,,Tier3_Singletons,Tier3_Singletons
151,1,,Tier3_Singletons,Tier3_Singletons
152,1,,Tier3_Singletons,Tier3_Singletons
153,1,,Tier3_Singletons,Tier3_Singletons
154,1,,Tier3_Singletons,Tier3_Singletons
155,1,,Tier3_Singletons,Tier3_Singletons
156,1,,Tier3_Singletons,Tier3_Singletons
157,1,,Tier3_Singletons,Tier3_Singletons
158,1,,Tier3_Singletons,Tier3_Singletons
159,1,,Tier3_Singletons,Tier3_Singletons
160,1,,Tier3_Singletons,Tier3_Singletons
