cluster_ordinal,n_members,mean_r,tier,folder
1,36,0.9337,Tier1_Strong,Subclass_01_n36_r0.93
2,28,0.9448,Tier1_Strong,Subclass_02_n28_r0.94
3,27,0.9281,Tier1_Strong,Subclass_03_n27_r0.93
4,23,0.9086,Tier1_Strong,Subclass_04_n23_r0.91
5,12,0.9025,Tier1_Strong,Subclass_05_n12_r0.90
6,11,0.9576,Tier1_Strong,Subclass_06_n11_r0.96
7,10,0.9583,Tier1_Strong,Subclass_07_n10_r0.96
8,8,0.9664,Tier1_Strong,Subclass_08_n8_r0.97
9,5,0.9116,Tier1_Strong,Subclass_09_n5_r0.91
10,4,0.9197,Tier2_Moderate,Subclass_10_n4_r0.92
11,4,0.9113,Tier2_Moderate,Subclass_11_n4_r0.91
12,3,0.9555,Tier2_Moderate,Subclass_12_n3_r0.96
13,2,0.9869,Tier2_Moderate,Subclass_13_n2_r0.99
14,2,0.9337,Tier2_Moderate,Subclass_14_n2_r0.93
15,2,0.9034,Tier2_Moderate,Subclass_15_n2_r0.90
16,2,0.9018,Tier2_Moderate,Subclass_16_n2_r0.90
17,2,0.8979,Tier2_Moderate,Subclass_17_n2_r0.90
18,2,0.8849,Tier2_Moderate,Subclass_18_n2_r0.88
19,2,0.866,Tier2_Moderate,Subclass_19_n2_r0.87
20,1,,Tier3_Singletons,Tier3_Singletons
21,1,,Tier3_Singletons,Tier3_Singletons
22,1,,Tier3_Singletons,Tier3_Singletons
23,1,,Tier3_Singletons,Tier3_Singletons
24,1,,Tier3_Singletons,Tier3_Singletons
25,1,,Tier3_Singletons,Tier3_Singletons
26,1,,Tier3_Singletons,Tier3_Singletons
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
36,1,,Tier3_Singletons,Tier3_Singletons
37,1,,Tier3_Singletons,Tier3_Singletons
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
49,1,,Tier3_Singletons,Tier3_Singletons
50,1,,Tier3_Singletons,Tier3_Singletons
51,1,,Tier3_Singletons,Tier3_Singletons
52,1,,Tier3_Singletons,Tier3_Singletons
53,1,,Tier3_Singletons,Tier3_Singletons
54,1,,Tier3_Singletons,Tier3_Singletons
55,1,,Tier3_Singletons,Tier3_Singletons
56,1,,Tier3_Singletons,Tier3_Singletons
57,1,,Tier3_Singletons,Tier3_Singletons
58,1,,Tier3_Singletons,Tier3_Singletons
59,1,,Tier3_Singletons,Tier3_Singletons
60,1,,Tier3_Singletons,Tier3_Singletons
61,1,,Tier3_Singletons,Tier3_Singletons
