cluster_ordinal,n_members,mean_r,tier,folder
1,16,0.9489,Tier1_Strong,Subclass_01_n16_r0.95
2,13,0.9252,Tier1_Strong,Subclass_02_n13_r0.93
3,2,0.9687,Tier2_Moderate,Subclass_03_n2_r0.97
4,2,0.9602,Tier2_Moderate,Subclass_04_n2_r0.96
5,2,0.8666,Tier2_Moderate,Subclass_05_n2_r0.87
6,1,,Tier3_Singletons,Tier3_Singletons
7,1,,Tier3_Singletons,Tier3_Singletons
8,1,,Tier3_Singletons,Tier3_Singletons
9,1,,Tier3_Singletons,Tier3_Singletons
10,1,,Tier3_Singletons,Tier3_Singletons
11,1,,Tier3_Singletons,Tier3_Singletons
12,1,,Tier3_Singletons,Tier3_Singletons
13,1,,Tier3_Singletons,Tier3_Singletons
14,1,,Tier3_Singletons,Tier3_Singletons
15,1,,Tier3_Singletons,Tier3_Singletons
16,1,,Tier3_Singletons,Tier3_Singletons
17,1,,Tier3_Singletons,Tier3_Singletons
18,1,,Tier3_Singletons,Tier3_Singletons
19,1,,Tier3_Singletons,Tier3_Singletons
