cluster_ordinal,n_members,mean_r,tier,folder
1,157,0.9203,Tier1_Strong,Subclass_01_n157_r0.92
2,34,0.9279,Tier1_Strong,Subclass_02_n34_r0.93
3,29,0.9436,Tier1_Strong,Subclass_03_n29_r0.94
4,20,0.9368,Tier1_Strong,Subclass_04_n20_r0.94
5,15,0.9233,Tier1_Strong,Subclass_05_n15_r0.92
6,10,0.9396,Tier1_Strong,Subclass_06_n10_r0.94
7,7,0.9252,Tier1_Strong,Subclass_07_n7_r0.93
8,6,0.9394,Tier1_Strong,Subclass_08_n6_r0.94
9,6,0.9271,Tier1_Strong,Subclass_09_n6_r0.93
10,6,0.9126,Tier1_Strong,Subclass_10_n6_r0.91
11,5,0.9026,Tier1_Strong,Subclass_11_n5_r0.90
12,5,0.8858,Tier2_Moderate,Subclass_12_n5_r0.89
13,4,0.9589,Tier2_Moderate,Subclass_13_n4_r0.96
14,4,0.9205,Tier2_Moderate,Subclass_14_n4_r0.92
15,4,0.9161,Tier2_Moderate,Subclass_15_n4_r0.92
16,4,0.9148,Tier2_Moderate,Subclass_16_n4_r0.91
17,4,0.9128,Tier2_Moderate,Subclass_17_n4_r0.91
18,4,0.8952,Tier2_Moderate,Subclass_18_n4_r0.90
19,3,0.9467,Tier2_Moderate,Subclass_19_n3_r0.95
20,3,0.9268,Tier2_Moderate,Subclass_20_n3_r0.93
21,3,0.924,Tier2_Moderate,Subclass_21_n3_r0.92
22,3,0.9222,Tier2_Moderate,Subclass_22_n3_r0.92
23,3,0.9057,Tier2_Moderate,Subclass_23_n3_r0.91
24,3,0.9039,Tier2_Moderate,Subclass_24_n3_r0.90
25,3,0.8761,Tier2_Moderate,Subclass_25_n3_r0.88
26,3,0.8734,Tier2_Moderate,Subclass_26_n3_r0.87
27,2,0.9995,Tier2_Moderate,Subclass_27_n2_r1.00
28,2,0.9792,Tier2_Moderate,Subclass_28_n2_r0.98
29,2,0.9749,Tier2_Moderate,Subclass_29_n2_r0.97
30,2,0.9662,Tier2_Moderate,Subclass_30_n2_r0.97
31,2,0.9533,Tier2_Moderate,Subclass_31_n2_r0.95
32,2,0.9423,Tier2_Moderate,Subclass_32_n2_r0.94
33,2,0.9318,Tier2_Moderate,Subclass_33_n2_r0.93
34,2,0.9283,Tier2_Moderate,Subclass_34_n2_r0.93
35,2,0.9194,Tier2_Moderate,Subclass_35_n2_r0.92
36,2,0.8946,Tier2_Moderate,Subclass_36_n2_r0.89
37,2,0.8771,Tier2_Moderate,Subclass_37_n2_r0.88
38,2,0.8754,Tier2_Moderate,Subclass_38_n2_r0.88
39,2,0.8708,Tier2_Moderate,Subclass_39_n2_r0.87
40,2,0.8505,Tier2_Moderate,Subclass_40_n2_r0.85
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
49,1,,Tier3_Singletons,Tier3_Singletons
