cluster_ordinal,n_members,mean_r,tier,folder
1,89,0.9572,Tier1_Strong,Subclass_01_n89_r0.96
2,39,0.9602,Tier1_Strong,Subclass_02_n39_r0.96
3,35,0.9119,Tier1_Strong,Subclass_03_n35_r0.91
4,20,0.9371,Tier1_Strong,Subclass_04_n20_r0.94
5,18,0.9166,Tier1_Strong,Subclass_05_n18_r0.92
6,11,0.9274,Tier1_Strong,Subclass_06_n11_r0.93
7,9,0.911,Tier1_Strong,Subclass_07_n9_r0.91
8,8,0.912,Tier1_Strong,Subclass_08_n8_r0.91
9,8,0.9114,Tier1_Strong,Subclass_09_n8_r0.91
10,7,0.8961,Tier2_Moderate,Subclass_10_n7_r0.90
11,7,0.8939,Tier2_Moderate,Subclass_11_n7_r0.89
12,5,0.8789,Tier2_Moderate,Subclass_12_n5_r0.88
13,4,0.9214,Tier2_Moderate,Subclass_13_n4_r0.92
14,4,0.9049,Tier2_Moderate,Subclass_14_n4_r0.90
15,3,0.9094,Tier2_Moderate,Subclass_15_n3_r0.91
16,3,0.9072,Tier2_Moderate,Subclass_16_n3_r0.91
17,3,0.8845,Tier2_Moderate,Subclass_17_n3_r0.88
18,2,0.9385,Tier2_Moderate,Subclass_18_n2_r0.94
19,2,0.9369,Tier2_Moderate,Subclass_19_n2_r0.94
20,2,0.9043,Tier2_Moderate,Subclass_20_n2_r0.90
21,2,0.9012,Tier2_Moderate,Subclass_21_n2_r0.90
22,2,0.8716,Tier2_Moderate,Subclass_22_n2_r0.87
23,2,0.8711,Tier2_Moderate,Subclass_23_n2_r0.87
24,2,0.8636,Tier2_Moderate,Subclass_24_n2_r0.86
25,2,0.8604,Tier2_Moderate,Subclass_25_n2_r0.86
26,2,0.8583,Tier2_Moderate,Subclass_26_n2_r0.86
27,1,,Tier3_Singletons,Tier3_Singletons
28,1,,Tier3_Singletons,Tier3_Singletons
29,1,,Tier3_Singletons,Tier3_Singletons
30,1,,Tier3_Singletons,Tier3_Singletons
31,1,,Tier3_Singletons,Tier3_Singletons
32,1,,Tier3_Singletons,Tier3_Singletons
33,1,,Tier3_Singletons,Tier3_Singletons
34,1,,Tier3_Singletons,Tier3_Singletons
35,1,,Tier3_Singletons,Tier3_Singletons
36,1,,Tier3_Singletons,Tier3_Singletons
37,1,,Tier3_Singletons,Tier3_Singletons
38,1,,Tier3_Singletons,Tier3_Singletons
39,1,,Tier3_Singletons,Tier3_Singletons
40,1,,Tier3_Singletons,Tier3_Singletons
41,1,,Tier3_Singletons,Tier3_Singletons
42,1,,Tier3_Singletons,Tier3_Singletons
43,1,,Tier3_Singletons,Tier3_Singletons
44,1,,Tier3_Singletons,Tier3_Singletons
45,1,,Tier3_Singletons,Tier3_Singletons
46,1,,Tier3_Singletons,Tier3_Singletons
47,1,,Tier3_Singletons,Tier3_Singletons
48,1,,Tier3_Singletons,Tier3_Singletons
49,1,,Tier3_Singletons,Tier3_Singletons
50,1,,Tier3_Singletons,Tier3_Singletons
51,1,,Tier3_Singletons,Tier3_Singletons
52,1,,Tier3_Singletons,Tier3_Singletons
53,1,,Tier3_Singletons,Tier3_Singletons
54,1,,Tier3_Singletons,Tier3_Singletons
55,1,,Tier3_Singletons,Tier3_Singletons
56,1,,Tier3_Singletons,Tier3_Singletons
57,1,,Tier3_Singletons,Tier3_Singletons
58,1,,Tier3_Singletons,Tier3_Singletons
59,1,,Tier3_Singletons,Tier3_Singletons
60,1,,Tier3_Singletons,Tier3_Singletons
61,1,,Tier3_Singletons,Tier3_Singletons
62,1,,Tier3_Singletons,Tier3_Singletons
63,1,,Tier3_Singletons,Tier3_Singletons
64,1,,Tier3_Singletons,Tier3_Singletons
65,1,,Tier3_Singletons,Tier3_Singletons
66,1,,Tier3_Singletons,Tier3_Singletons
67,1,,Tier3_Singletons,Tier3_Singletons
68,1,,Tier3_Singletons,Tier3_Singletons
69,1,,Tier3_Singletons,Tier3_Singletons
70,1,,Tier3_Singletons,Tier3_Singletons
71,1,,Tier3_Singletons,Tier3_Singletons
72,1,,Tier3_Singletons,Tier3_Singletons
73,1,,Tier3_Singletons,Tier3_Singletons
74,1,,Tier3_Singletons,Tier3_Singletons
75,1,,Tier3_Singletons,Tier3_Singletons
76,1,,Tier3_Singletons,Tier3_Singletons
77,1,,Tier3_Singletons,Tier3_Singletons
